Title,Caption,Sentiment,Emotion,Desire,Inference Sequence
Young blonde with a fashionable haircut angry,Young blonde with a fashionable haircut in a leather jacket angry on white background,negative,anger,none,E-D-S
"Boy, 11 watching scary movie",Boy watching scary movie,negative,fear,curiosity,D-E-S
Young Woman Making Face While Holding Cup,Young Woman Making Face While Holding Cup,negative,disgust,none,S-E-D
Healthy breakfast in the morning,Young woman having healthy breakfast in the morning in her apartment,positive,happiness,none,E-S-D
"Look, I'm just like you Dad",Shot of a father teaching his little son how to shave in the bathroom at home,neutral,neutral,family,D-S-E
Bride and Groom enjoying in their love,Wedding couple in love,positive,happiness,romance,D-E-S
Woman holding steaming iron,Woman holding steaming iron,negative,anger,vengeance,E-S-D
Young Asian Mother and her daughter count coins from piggy bank,Young Asian Mother and her daughter count coins from piggy bank.,positive,happiness,family,D-S-E
African couple walking in neighborhood,African couple walking in neighborhood,neutral,neutral,none,D-S-E
Friends dancing and having fun at kitchen,We love to dance and hanging out,positive,happiness,social-contact,S-E-D
Happy mature woman looking at friend in forest,Happy mature woman looking at friend in forest. Female friends are sitting at lakeshore. They are communicating in woodland.,positive,happiness,social-contact,D-S-E
Senior man using laptop in retro style living room,"Cheerful man in his 50s relaxing at home on blue sofa with cup of coffee, surfing the web, wooden parquet flooring and bookshelves, vintage furniture and decor",neutral,neutral,none,D-S-E
Frustrated Woman With Hand In Hair Sitting On Sofa At Home,Frustrated Woman With Hand In Hair Sitting On Sofa At Home,negative,anger,none,S-D-E
What am I gonna catch today?,Fisherman putting the fishing net into the water. He is standing on his boat. Sun in back.,neutral,neutral,none,S-E-D
Enjoying Their Breaks Together,Two women colleagues laughing while standing in a cafe at their workplace. One of the women is holding a take out hot drink cup.,positive,happiness,social-contact,D-S-E
Man in quarantine looking through the window,Man in quarantine wearing a mask and looking through the window. Pandemic of Coronavirus / Covid-19.,negative,fear,curiosity,D-E-S
Friends sitting around fire during neighborhood backyard party on summer evening,Friends sitting around fire during neighborhood backyard party on summer evening,positive,happiness,social-contact,D-S-E
Mom Guiding Young Son Learning To Ride Bike In The Park,Mom carefully guiding her young son who is learning to ride his bike on a sunny afternoon in the park.,neutral,neutral,family,D-S-E
Scared Woman Against Yellow Background,Scared Woman Against Yellow Background,negative,fear,none,S-D-E
Enjoying the fresh sea air,Cropped view of a young woman with the wind in her hair,neutral,neutral,none,S-E-D
Grandmother and granddaughter,Grandmother reading a book with grand daughter,neutral,neutral,family,D-S-E
Young couple in bed having communication problems,Young man using phone while his girlfriend sits on the bed displeased,negative,sad,romance,S-D-E
Hot drink,"Brazil, Women, Tranquility, Morning, Coffee - Drink",neutral,neutral,none,S-E-D
Play is part of the learning process,Shot of a little boy and his father playing with toys together at home,positive,happiness,family,D-S-E
Medical Exam,Close up of a doctor using a stethoscope to check up on his patient,positive,happiness,social-contact,S-D-E
"Wide-eyed, terrified young woman looks out through venetian blinds","Wide-eyed, terrified young woman looks out through venetian blinds",negative,fear,curiosity,S-E-D
Angry guy shouting to someone in his smartphone,"Angry Young guy, shouting at someone in his smartphone.",negative,anger,none,S-E-D
Golden retriever running with his owners,Low angle view of two women and a golden retriever running on running track on a sunny day.,neutral,neutral,none,S-E-D
Perth beach wedding couple,Bride and Groom at an Australian beach wedding,positive,happiness,romance,D-E-S
Man fly fishing in Patagonia,"Rio Grande River, Patagonia, Argentina",neutral,neutral,none,S-E-D
Portrait of angry teenage boy at home with parents in background,Portrait of angry teenage boy at home with parents in background,negative,anger,none,S-E-D
Happiness is wherever mom is,Shot of a young woman and her adorable child playing with building blocks at home,positive,happiness,family,D-S-E
Young student woman,Young woman in library,neutral,neutral,none,S-E-D
Asian toddler boy 2 to 3 years old making bubbles in the garden.,Asian toddler boy 2 to 3 years old making bubbles in the garden with pet cat.,positive,happiness,curiosity,S-E-D
Private tutoring lesson for 10 years old blonde elementary school boy while doing his homework together with male tutor in his thirties.,Private tutoring lesson for 10 years old blonde elementary school boy while doing his homework together with male tutor in his thirties.,neutral,neutral,family,D-S-E
Brother and sister having fun with snow before Christmas,Brother and sister having fun with snow before Christmas,positive,happiness,none,S-E-D
Tough Mature Woman With Arms Akimbo,Portrait of a mature woman on a white background.,negative,anger,none,E-S-D
Girl grimacing at broccoli on fork,Girl grimacing at broccoli on fork,negative,disgust,none,S-E-D
Teenager girl studying at home,Teenager girl studying at home,neutral,neutral,none,S-E-D
Closeup man hands using computer laptop.,Closeup man hands using computer laptop.,neutral,neutral,none,S-E-D
Young afro american woman shouting,Side view shot of a real young afro american woman shouting against gray background. Vertical portrait of angry female in leather jacket screaming. Sharp focus on eyes.,negative,anger,none,E-S-D
Woman using tablet pc in bathtub.,Smiling woman using tablet pc in bathtub with candles around.,neutral,neutral,none,S-E-D
Mom helping her daughter to wear medical face mask,Mom helping her lovely daughter to wear medical face mask,positive,happiness,none,S-E-D
Woman splashing hair with holi powder,Woman splashing her hair with holi powder,positive,happiness,none,S-E-D
Boys and girl in summer,Three happy children eating sandwiches and drinking lemonade in hammock in a park or back yard in summer,positive,happiness,social-contact,S-E-D
Teach kids how far a little care can go,Closeup shot of an adult and child holding a plant growing out of soil,neutral,neutral,family,E-S-D
Breakfast and Relaxing Conversation on Home Deck,Personal perspective of young couple sitting outside on home deck and enjoying leisurely breakfast and conversation with backyard in background.,neutral,neutral,none,S-E-D
Friends playing basketball at sunset on a rooftop,Friends playing basketball at sunset on a rooftop,positive,happiness,social-contact,S-E-D
Birthday party in the office,Group of friends at office birthday party,positive,happiness,social-contact,D-S-E
Happy senior couple with bushel of apples hugging,Happy senior couple with bushel of apples hugging,positive,happiness,romance,S-E-D
Happy couple,Close up of a happy young couple using a phone,positive,happiness,romance,D-S-E
Man speaking over the phone. His suspicious wife watching him. 195,Man speaking over the phone. His suspicious wife watching him. 1959,negative,sad,romance,D-E-S
"Woman in bathrobe, clutching large kitchen knife","Woman in bathrobe, clutching large kitchen knife",negative,anger,vengeance,E-D-S
Driver in shock,Driver in shock,negative,fear,tranquility,S-E-D
Senior couple using sports technologies,Senior couple using sports technologies in the park,neutral,neutral,none,D-S-E
Close up of newborn baby's face sleeping on father's shoulder at home,Close up of newborn baby's face sleeping on father's shoulder at home,neutral,neutral,family,D-S-E
Portrait of shouting young woman with two sparklers,Portrait of shouting young woman with two sparklers,positive,happiness,none,S-E-D
Young woman Spy on Boyfriend Cell Phone,Young woman Spy on Boyfriend Cell Phone,negative,sad,romance,D-S-E
Boy waits to board bus on the first day of school,Rear view of elementary age boy waiting to board the school bus on the first day of school. He is wearing a backpack.,negative,sad,tranquility,S-E-D
"Businesswoman walking at a red wall in the background, putting her jacket on her shoulder","Businesswoman walking at a red wall in the background, putting her jacket on her shoulder",positive,happiness,none,S-E-D
Elderly woman peering anxiously through window blinds,"Senior woman stares out suspiciously through her blinds, her fingers separating them.",negative,fear,curiosity,D-S-E
Portrait of smiling multi-ethnic senior friends,Portrait of smiling multi-ethnic senior friends standing against trees. Retired men and women are in casuals. They are at enjoying at party.,positive,happiness,social-contact,D-E-S
Happy little hikers jumping with joy,Brothers and sister hiking in beautiful forest. Kids are jumping with joy on forest path.,positive,happiness,social-contact,S-E-D
Silent destroyer,Abused young woman being silenced by her abuser,negative,fear,tranquility,S-E-D
Happy man expresses joy with a whole body jump,Happy man expresses joy by jumping with his whole body. Millennial Japanese man. A smart casual shirt and slacks.,positive,happiness,none,S-E-D
Rear view of family walking on sandy footpath,Photo of family walking on sandy footpath amidst plants. Father is carrying son on shoulders during summer. Rear view of woman flying kite in nature.,positive,happiness,family,E-S-D
Playful mature couple piggybacking in winter day.,Happy senior couple having fun while piggybacking in winter day at the park.,positive,happiness,romance,D-E-S
Rear view of blond lady taking her dog for a walk,Rear view of mid adult blond lady taking her pet pug for a walk in public park,neutral,neutral,none,S-E-D
Mixed race woman running on wooded path,Mixed race woman running on wooded path,neutral,neutral,none,S-E-D
Portrait of happy family against house,Portrait of happy family against house. Multi-ethnic parents and children are smiling on driveway. They are having fun together during weekend.,positive,happiness,family,D-S-E
Domestic violence victim,"Domestic violence victim, a young woman being hurt",negative,fear,tranquility,S-D-E
Mature man listening to music on laptop,"Man watching movie online with headphones, relaxation, leisure, enjoyment",neutral,neutral,none,S-E-D
Unwinding the way she knows best,Shot of a young woman relaxing with coffee and a book at home,neutral,neutral,none,S-E-D
Mother packing daughters backpacks for school,Mother packing daughters backpacks for school,neutral,neutral,family,D-S-E
Funky young girl against yellow background,Funky young girl against yellow background,positive,happiness,none,E-S-D
Female reading book,Female reading book,neutral,neutral,none,S-E-D
Senior woman looking through the window,Senior woman looking through the window,negative,sad,none,E-D-S
Woman sitting on the roof at sunrise,Portrait of young Caucasian woman sitting on the roof at sunrise,neutral,neutral,none,S-E-D
Family reading a book with young children at home,Family reading a book with young children at home,neutral,neutral,family,D-S-E
Sharing the food and the good laughs,"Group of friends gathered around the table with food and drinks, having good time together",positive,happiness,social-contact,S-E-D
Portrait of a smiling young woman using cellphone,Portrait of a smiling young woman using cellphone,positive,happiness,none,E-S-D
Playtime For Kids,Group of preschool kids are playing indoors at a daycare center. One boy is lying on the floor and playing with colorful toy blocks.,positive,happiness,curiosity,D-S-E
Businesswoman using laptop in office,Businesswoman using laptop in office,neutral,neutral,none,S-E-D
Infidelity concept. Unfaithful womanizer guy turning around amazed at another woman while walking with his girlfriend on street,Disloyal man walking with his girlfriend and looking amazed at another seductive girl,negative,sad,romance,S-D-E
Worried wide-eyed older woman peeps through slats of wooden blind,"Worried, wide-eyed older woman peeps, wide eyed and suspicious, through the slats of a wooden venetian blind.",negative,fear,curiosity,D-E-S
Father And Son Fishing At Sunset.,Father and son fishing at sunset in beautiful mountain lake.,neutral,neutral,family,D-S-E
Couple walking dog by the sea,Couple walking dog by the sea,neutral,neutral,none,D-E-S
Working at home,Mature businessman working at home using lap top and smart phone,positive,happiness,none,S-E-D
Schoolgirl in UK studying outside,Young girl sitting at the steps and using lap top,neutral,neutral,none,S-E-D
Business boys fighting in office,Business boys fighting in office,negative,anger,vengeance,E-D-S
Young couple having fun riding scooter in old European town,Tourist friends on summer holidays in Europe having fun riding retro scooter by the sea,positive,happiness,social-contact,D-S-E
Boy riding a bike with his dad,Boy riding a bike with his dad,positive,happiness,family,S-E-D
Furious male driver shakes his fist out of car window,Furious male driver shakes his fist out of car window,negative,anger,none,D-S-E
African American girl reading in living room,African American girl reading in living room,positive,happiness,curiosity,D-S-E
Elderly man sitting on bed looking serious,Growing old isn't for sissies. Shot of a depressed senior man sitting on his bed at home,negative,sad,tranquility,S-E-D
Portrait of laughing woman practicing yoga in home,Portrait of laughing woman practicing yoga in home,positive,happiness,none,S-E-D
There's always that one song that gets everyone dancing,Shot of a group of young women dancing and having fun together outdoors,positive,happiness,social-contact,S-E-D
My Little Star,"Mixed-race father and son at a Christmas tree farm together in Newcastle-Upon-Tyne. The man is carrying the boy on his shoulders, who has his arms outstretched. They are both looking away from the camera.",positive,happiness,family,D-S-E
Caucasian businessmen fighting on elevated walkway,Caucasian businessmen fighting on elevated walkway,negative,anger,vengeance,D-E-S
Beautiful young Asian woman reading a book while drinking a cup of coffee. Enjoying a quiet time and relaxing environment at cozy home,Beautiful young Asian woman reading a book while drinking a cup of coffee. Enjoying a quiet time and relaxing environment at cozy home,neutral,neutral,none,S-E-D
Woman peeking through a cracked door,Woman peeking through a cracked door,negative,fear,curiosity,D-E-S
Couple sitting on truck looking at ocean view,Couple sitting on truck looking at ocean view,neutral,neutral,none,S-E-D
Father working in kitchen with daughter,Father working in kitchen with daughter,neutral,neutral,family,D-S-E
Turn on the day with coffee and social media,Shot of a young woman using a smartphone and having coffee in the kitchen at home,neutral,neutral,none,S-E-D
"Boy in a hammock, arm and leg sticking out","Boy in a hammock, arm and leg sticking out",neutral,neutral,none,S-E-D
Girl refusing to take medicine,Girl refusing to take medicine,negative,disgust,none,D-S-E
The monthly finances,Young couple doing their finances at home. They are wearing pajamas and drinking first coffee of the day at the kitchen.,positive,happiness,romance,D-S-E
Family Hiking Through the Woods,Family of four are hiking through the woods on a beautiful sunny spring day. The are walking on a footpath and there are green trees all around them.,neutral,neutral,none,S-E-D
Boy looking at cheerful father carrying daughter by electric car on driveway,Boy looking at cheerful father carrying daughter by electric car on driveway,positive,happiness,family,S-E-D
Roadtrippers,Photo of a young smiling woman and her dog sitting the trunk of a car on a beautiful autumn day; taking a short break during their road trip.,positive,happiness,none,S-E-D
Cheerful mature female with hand on chin,Cheerful mature female with hand on chin,positive,happiness,none,E-S-D
Father helping son with his homework at home,Father helping son with his homework at home,neutral,neutral,family,D-S-E
Woman Using Laptop At Home,Woman sitting on a sofa and using a laptop.,positive,happiness,none,S-E-D
"Young mother and her little son blowing to Takoyaki before eating,","Young mother and her little son blowing to Takoyaki before eating,",neutral,neutral,family,D-S-E
Don't have the patience for this,Shot of a young design professional looking frustrated while sitting at her computer,negative,anger,none,S-E-D
Bubble Bath,Woman getting ready to take a bath.,neutral,neutral,none,S-D-E
Family with adorable baby enjoying christmas presents at home.,Mother Father and baby daughter unwrapping Christmas present in their home. Caucasian family sitting together in the living room and preparing gifts and decoration for holidays. New Year or Christmas morning.,neutral,neutral,family,D-S-E
Angry woman,Redhead angry woman posing outside,negative,anger,none,S-E-D
M moving in starting from today,Shot of a relaxed an cheerful young woman getting a massage indoors at a spa,neutral,neutral,none,S-E-D
Side view of man Fly-fishing while standing on rock in river at Yosemite National Park,Side view of man Fly-fishing while standing on rock in river at Yosemite National Park,neutral,neutral,none,D-S-E
Enjoying retirement,Playful senior couple having fun together driving bumper car,positive,happiness,romance,D-E-S
Rear View Of Silhouette Woman Looking Through Window At Home,Rear View Of Silhouette Woman Looking Through Window At Home,negative,sad,none,S-D-E
Girl holding credit card and texting,Young woman sitting in a cafe and holding credit card and smart phone,positive,happiness,none,D-S-E
Group of friends having fun at a party,Group of friends having fun at a party,positive,happiness,social-contact,S-E-D
Father teaching young son to play drums,Father teaching young son to play drums,neutral,neutral,family,D-S-E
Man cheering in crowd with arms raised,Smiling man standing with arms raised overhead in cheering crowd in stadium at sporting event,positive,happiness,none,S-E-D
Gay couple engagement portraits.,Lifestyle coffee shop made in Barcelona.,positive,happiness,romance,D-S-E
"Portrait of an angry, curly-haired brunette woman with a grimacing face in front of what she hears.","Portrait of an angry, curly-haired brunette woman with a grimacing face in front of what she hears.",negative,anger,none,S-E-D
Full length of elderly man holding shopping bag walking with dog on road during autumn,Full length of elderly man holding shopping bag walking with dog on road during autumn,neutral,neutral,none,S-E-D
Alone On Christmas,Caucasian woman is indoors in her living room. There is a Christmas tree in the background. The woman is wearing warm clothing. She is sitting on the couch and looking sad because she is alone on Christmas day.,negative,sad,tranquility,D-E-S
Jealousy in France - The chemistry of our emotions,Jealousy in France - The chemistry of our emotions.,negative,sad,romance,E-S-D
Friends Sitting on a Sofa,Friends Sitting on a Sofa,negative,sad,romance,D-E-S
Surreal Meal of Sushi,Young Caucasian woman in her twenties has a disgusted facial expression and is holding her nose as she is about to eat some very strange sushi with a human eyeball wrapped into the roll. An octopus tentacle has emerged from the bowl as if to steal some of her sushi.,negative,disgust,none,E-D-S
Woman laughing while trying on clothes at market,Woman laughing while trying on clothes at market,positive,happiness,none,S-E-D
Collegues greeting at meeting,Mature gray haired woman and young businessman handshaking and greeting at meeting in office.,positive,happiness,social-contact,S-E-D
Portrait Of Scared Boy Standing Against Wall,Portrait Of Scared Boy Standing Against Wall,negative,fear,none,S-E-D
Sad Woman on Bed,"Woman seated on bed looking down, rear view",negative,sad,none,E-D-S
Angry young woman,Angry young woman.,negative,anger,none,E-S-D
Close-up of a mother holding a newborn baby son at home.,Young woman cuddling her new baby boy or girl with love.,neutral,neutral,family,D-S-E
She has one too many deadlines to deal with,Shot of a young businesswoman looking stressed out while working in an office,negative,sad,none,E-D-S
An inspired team is a winning team,Shot of a group of colleagues having a meeting at work,positive,happiness,social-contact,D-S-E
Mother and daughter reading book on couch,Mother and daughter reading book on couch,neutral,neutral,family,E-D-S
Shot of a young woman poring coffee on a laptop,Revenge is best served hot,negative,anger,vengeance,S-E-D
Woman walking with her dog at sunset,Woman walking with her dog at sunset,neutral,neutral,none,S-E-D
"Utah, Spanish Fork, Three boys fighting in school corridor","Utah, Spanish Fork, Three boys fighting in school corridor",negative,anger,vengeance,D-S-E
Portrait of a carefree young woman,Portrait of a carefree young woman,neutral,neutral,none,S-E-D
Overcoming her own demons,Young woman looking anxious and fearful,negative,fear,none,S-E-D
Man's single blue eye peeps fearfully through closed venetian blinds,"Man peeps through the slats of a closed venetian blind, looking frightened.",negative,fear,curiosity,D-S-E
Young woman preparing a bath in a spa,Young woman preparing a bath in a spa,neutral,neutral,none,S-E-D
Portrait Of Cheerful Couple Screaming While Sitting In Convertible,"Cheerful couple screaming while sitting in convertible. Photo taken in Ibiza, Spain",positive,happiness,romance,D-S-E
Frowning girl,Close-up studio shot of a cute preschool age girl making a sulky face,negative,disgust,none,S-E-D
Young woman's eyes peering anxiously through window blinds,"Woman looks dismayed and worried as she looks through her blinds, her fingers separating them.",negative,fear,curiosity,D-S-E
Young woman looks out across mountain lake,Young woman looks out across mountain lake,neutral,neutral,none,S-E-D
Four young people pulling faces whilst tasting red wine,Four young people pulling faces whilst tasting red wine,negative,disgust,none,S-E-D
Black mother and son walking on road,Black mother and son walking on road,neutral,neutral,family,S-D-E
Young Women Fighting in Alley,Young Women Fighting in Alley,negative,anger,vengeance,D-E-S
Young woman having fun swinging on a spring sunny day,Young woman having fun swinging on spring sunny day.,positive,happiness,none,E-S-D
They keep each other going,Shot of a fit young couple going for a run outdoors,positive,happiness,romance,D-S-E
Beautiful young woman smiling with head tilted,Beautiful young woman smiling with head tilted,positive,happiness,none,S-E-D
Upset young man in hawaiian shirt holding smart phone,"Portrait of angry afro american young man with dreadlocks wearing hawaiian short sleeved shirt and headphone, holding smart phone in hand and shouting at the camera. Studio shot on blue background.",negative,anger,none,S-E-D
Mother and preschool daughter learning and doing creative work,Funny use of toilet paper during quarantine-residential bulding-balcony,neutral,neutral,family,D-S-E
Cell phone break up,Teenage girl feeling depressed after breaking up with her boyfriend through messages,negative,sad,romance,D-E-S
Design professional enjoys conducting new employee training,Smiling young female creative professional sits on a stool before a group of employees. She gestures as she speaks to a new employee training class.,positive,happiness,social-contact,D-S-E
Close-up of businessman reading newspaper,Close-up of businessman reading newspaper,neutral,neutral,none,S-E-D
Joyful little Asian toddler girl smiling happily and having fun jumping in a bouncy castle in a outdoor playground,Joyful little Asian toddler girl smiling happily and having fun jumping in a bouncy castle in a outdoor playground,positive,happiness,none,S-E-D
Excited senior friends using a smart speaker,Two senior women looking excited while taking with an interactive voice assistant smart speaker. Excited elderly female friends asking questions to a digital assistant at home.,positive,happiness,curiosity,D-S-E
Little son raising hand and reaching to maple leaves,Little son raising hand and reaching to maple leaves,positive,happiness,family,D-S-E
We'll keep on winning as long as we work together,Rearview shot of two young designers giving each other a fist bump in an office,positive,happiness,social-contact,S-E-D
Elderly Couple Embracing Before BBQ With Family,An elderly couple embracing and smiling before sitting down for a barbecue with the family in a courtyard.,positive,happiness,romance,D-S-E
Cowboys having gun duel in old west town,Cowboys having gun duel in old west town,negative,anger,vengeance,D-E-S
Relaxed woman drinking coffee in the garden,Smiling woman enjoying the weekend among nature,neutral,neutral,none,D-S-E
Children observing grasshopper in garden,Children observing grasshopper in garden,positive,happiness,curiosity,D-S-E
Living that urban life,Portrait of a handsome young man in the city,positive,happiness,none,S-E-D
Businessman with baseball bat walking toward laptop in deserted area,Businessman with baseball bat walking toward laptop in deserted area,negative,anger,vengeance,E-S-D
Senior man and father helping girl,Grandfather and father helping girl to ride bicycle in park.,neutral,neutral,family,S-E-D
Cheerful father carrying his daughter on shoulders on beach,"Japanese father carrying his happy young daughter on shoulders on beach at sunset, Tokyo Bay",positive,happiness,family,D-S-E
Young schoolboy studies DNA model,African American elementary schoolboy studies a DNA helix model. He is concentrating while looking at the model.,positive,happiness,curiosity,E-S-D
But why do I have to eat it?,Cropped shot of a teenage boy refusing to eat his vegetables at home,negative,disgust,none,S-E-D
"Pregnant woman exercising, powerwalk with hand weights","Mid adult pregnant woman in her 30s exercising outdoors, power walking with hand weights, smiling.",neutral,neutral,none,S-E-D
Alone pensive woman sitting at the table,Alone pensive woman sitting at the table,negative,sad,tranquility,S-E-D
Courageous warrior with rifle,"Angry female warrior holding large rifle, feeling courageous and aiming, looking at the camera",negative,anger,vengeance,S-D-E
The kitchen is our happy place,Shot of a young woman dancing with her daughter in the kitchen at home,positive,happiness,family,S-E-D
Young woman take a break and relaxing,Young woman take a break and relaxing,neutral,neutral,none,S-E-D
There's always light at the end of the tunnel,Rearview shot of a senior woman sitting in a wheelchair,negative,sad,tranquility,S-E-D
M just out living life,Shot of an attractive young woman out and about in the city,positive,happiness,none,S-E-D
Woman practicing yoga at wild lake.,Rear view of woman practicing yoga on wooden pier at mountain lake.,neutral,neutral,none,S-E-D
In that moment she felt complete,Shot of an attractive young woman going on a road trip,neutral,neutral,none,S-E-D
Gazing at a screen is a frequent eyestrain culprit,Shot of a young businesswoman rubbing her eyes while working alongside her colleague in an office at night,negative,sad,none,S-E-D
Happily working away at her desk,Shot of a young businesswoman working on her laptop in the office,positive,happiness,none,S-E-D
Smiling woman opening a carton box,Smiling woman opening a carton box,positive,happiness,curiosity,D-E-S
Fall is the best season of all,Shot of an adorable little girl enjoying an autumn day outdoors,positive,happiness,none,E-S-D
Young girl in bed holding the sheets looking scared,"Little girl in bed afraid of the boogey man, or something else scaring her",negative,fear,curiosity,S-E-D
Portrait of young woman laughing,Portrait of young woman laughing,positive,happiness,none,S-E-D
Portrait of relaxed woman taking bubble bath in a loft reading a book,Portrait of relaxed woman taking bubble bath in a loft reading a book,neutral,neutral,none,S-E-D
Father daughter booktime,Father and daughter reading,neutral,neutral,family,D-S-E
